Reviews,Aspects
Pretty standard Chinese food,food
  Never had a bad experience here--it tastes just like you'd expect take out Chinese to taste,food
" When we sat down i had one thing on my mind ""NACHOS PLEASE!!"" Shock and disappointment overcame me when i could not find nachos on the menu! Is this a PUB? Pffftt",food
 But it was okay,food
 What really made my night was the STUPENDOUS Caesar salad,food
" ""Oh come on Cheri"" you say ""It's just a salad""",food
" The dressing was so good! The croutons, yummmy! And the bacon, OH the bacon! It was not fake, it was not bits",food
 It was good bite sized pieces of deliciousness,food
" So when you got a good forkful of salad, you could appreciate the bacon-y goodness with every bite",food
 I wouldn't give this place a 4 star just for a salad though,food
 But my bf ordered the rib and wing combo with sweet potato fries,food
 I tried some ribs and they were really good,food
 Flavourful with fall-off-the-bone tenderness,food
" Also, the sweet potato fries were fried up perfectly",food
 Nice and crispy,food
 And the sauce that came with them was good too,food
 The atmosphere here is a bit blah,ambience
" I'm sure it's much better in the summer, and the patio looks awesome",ambience
" Very big, with a great location next to the beach",ambience
 The food will definitely bring be back here again to try some more,food
  The staff is ambivalent at best,serivice
"  We had one question for our waitress, how big  the pitcher (like in how many ounces)?  Her response?  ""Look in here, it should say"" while she hands me back the menu",serivice
"  Her next response was that it was ""normal"" size and walked away",serivice
"  I will tell you this, she wasn't lying, these plates were scorching hot, as in I could not even touch it to move it on the table",ambience
 The food was at best mediocre,food
  My burrito was filled with greasy pork and covered in bland rachero sauce,food
  My friends fajita quesadilla was passable (though quite small),food
"  I will say I typically do not have very high expectations for ""house"" margaritas, I'm expecting inexpensive tequila, but these margaritas didn't even meet those low standards",food
"  They were neon green and tasted of pure sweet and sour mix, not a whiff of tequila was detectable in smell or taste",food
  My friend and I finished half a glass each of the concoction before we decided we could stomach no more,food
 Our waitress took 20 minutes to come back and check on us ,serivice
  We get to the front cash register and there is no one there,serivice
"  We wait 3 or 4 minutes, still no one there",serivice
"  Finally the manger comes out, we explain (in an extremely polite way) that we were simply not happy with the margaritas",food
Kids running around no one tells them anything,ambience
" Rice hard tastes a day old, pico de gallo no flavor also tastes old, chicken tooooo dry, flies flying everywhere",food
 Location dirty and very loud,ambience
 HEY MANAGER you need time management!!! I ordered two doughnuts (not the ones I like) They were out of the UN GLAZED ????? But never the less I would gladly eat what I had ordered ,serivice
 I ordered a large coffee and was told I would have to wait for ,serivice
  The manager said 20 minutes to wait for coffee,serivice
"  Tell you the truth, I am giving up on doughnuts and certainly this place needs new management for sure",serivice
"The food is good, if your going to use take out order in advance and ask for more meat, they can be a little light",food
"Very cool neighborhood charming ""dive"" bar with a newly added stage for Live music",ambience
"  Excellent bar food and fish sandwiches and cheap, good draft beer",food
Can't say too much about this handy restaurant,serivice
" Neat and tidy, good and quick customer service, and really tasty selection of meals to pick from","food,serivice,ambience"
 There is also a small produce section which looks pretty clean but I never bought anything from there before,ambience
 I don't see any fresh fish or meat,food
 All frozen,food
"Every weekend, come early for their fresh vegetable and beef rolls",food
 Delicious and runs out very quickly! I almost had to punch an old Filipino lady to get my fix! Right next door to a delicious Filipino restaurant,food
Their weekend Dim Sum is pretty good but I'd pass on the rest of their food,food
  Their General Tso's chicken had the consistency of chewing gum,food
"Mayfield Village is an amazing Chinese takeaway which has a good atmosphere, pleasant service, but incredible food","food,serivice,ambience"
"  I've been here twice and both times the meal was served in generous, filling portions and probably tasted better than any other Chinese I've been to",food
  The menu is extensive and has a full range of authentic Chinese dishes,food
  The staff were proper friendly and the order only took about five minutes to be cook,serivice
"  I would have waited ten times as long for it because it just tasted so good!  The last time I was there I went for te salt and pepper squid which, again, was amazing",food
  Their prices are as you would expect with mains costing around xc2xa35,price
  If you're after top quality Chinese takeaway food then this is the place to come,food
COME HERE!!!!  First found about this restaurant on yelp looking for a hangover cure so decided to try it out with some of my friends visiting from Cali and boy is it the best Mexican Food I've ever had!! and its real authentic Mexican food,food
 The service is amazing and food is sure to more than satisfy your taste buds and that hangover,"food,serivice"
$2 for a bottle of beer?! I guess I am IN!Tea & Kitchen just opened up on Steeles between Kennedy and Birchmount has a really mixed menu that has items from Chinese and Japanese cuisine,"food,price"
 The ramen Noodle with fish balls has this milky white fish broth definitely a A OK!! A good place for cheap beers and snacks as it opens till 12 AM,"food,price"
We Love Zeppes pizza!! For a chain they do a great job with consistency & the pies are very tasty!! Another thing I like is they will always help you with specials if you  Don't have a coupon & they have late hours compared to their competition (that extra hour from 10-11 is a beautiful thing),"food,serivice"
" Zeppes is very good as is the help!! Never had a rude experience yet & the help is xtra friendly!!""","food,serivice"
"New location, very clean, fast friendly service! Perfect for a quick grab and go lunch","food,serivice,ambience"
I unfortunately fell into the trap pf ordering chips and salsa first,food
 Way too much food,food
" Big serves, as often happens in Mexican, and fresh ingredients","food,serivice"
 Nothing earth-shattering but reasonably priced,price
"very average subs,  I ordered online and they forgot to give us our chips even though we paid for them","food,serivice"
"  The meatball sub was ok, the bread is not very good",food
  I would equate this with a subway meatball sub and that is not saying much,food
"I loved this place so much!  delicious, fresh, so reasonably priced and excellent service; a hole in the wall with run by such a super sweet family - have to highly recommend it!'","food,serivice,price"
 The chicken is a nice white meat with good flavor and a crispy breading,food
 I really enjoyed both dishes,food
" This place is a hole in the wall, but the food is good","food,ambience"
 I will definitely be returning to try more on the menu,food
"Solid casual sushi restaurant!Didn't try the sashimi, so can't validate quality of fish, but rolls and tempera were decent",food
Service was quick and polite,serivice
" Will come back again, especially for lunch special which was surprisingly filling",price
 This is a deli that does stand out among the others in the area,ambience
" Add soup, a drink and crisps and that adds up to a very tasty lunch for about xc2xa37 or so",food
" Light and airy, lots of papers and magazines to flick through and plenty of seats and tables",ambience
" Cold food, kinda pricey for what you get and not very good when there are lots of newer breakfast places opening up all around (Cora's, eggsmart, sunset grill, etc)Wish I could give it no stars","food,price"
" The pictures of their food is beautiful, inside if the shop is very clean",ambience
 These tacos were about the height of three small fingers with very little fish,food
" As for taste, they're pretty good",food
 Simply because the novelty didn't meet expectations and price was not worth it,price
  Royal Dumpling is a semi new place that opened up,ambience
" Dumplings are ""supermarket"" quality",food
  Long wait time if place is busyI've passed this place a number of times on my way home from work,serivice
  Royal Dumpling is a tuiny place that replaced a pizza place,ambience
  The inside looks exactly the same as the pizza place,ambience
  They did very little renovation after taking over,ambience
  The place is super tiny,ambience
  The place is so tiny the kitchen is located the floor above,ambience
"We ordered the Fennel and Nappa dumplings, some lamb skewers and the beef noodle",food
"  When it's busy, expect to wait a long time",serivice
  We waited nearly 40 minutes for our food,serivice
  That's way too long,serivice
The dumplings themselves were average at best,food
  They were obviously not hand made,food
  These dumplings I swear were like the ones you can buy at the supermarket,food
"  At $7 for 15, they were also more expensive then your usual dumpling",price
"Being disappointed by the dumpling, I was very impressed with the skewers and noodles",food
