Reviews,sentiment
Pretty standard Chinese food,Neutral
  Never had a bad experience here--it tastes just like you'd expect take out Chinese to taste,Positive
" When we sat down i had one thing on my mind ""NACHOS PLEASE!!"" Shock and disappointment overcame me when i could not find nachos on the menu! Is this a PUB? Pffftt",Negative
 I'll take the tortilla chips and cheesy salsa stuff,Neutral
 But it was okay,Neutral
 What really made my night was the STUPENDOUS Caesar salad,Positive
" ""Oh come on Cheri"" you say ""It's just a salad""",Neutral
" The dressing was so good! The croutons, yummmy! And the bacon, OH the bacon! It was not fake, it was not bits",Positive
 It was good bite sized pieces of deliciousness,Positive
" So when you got a good forkful of salad, you could appreciate the bacon-y goodness with every bite",Positive
 I wouldn't give this place a 4 star just for a salad though,Neutral
 But my bf ordered the rib and wing combo with sweet potato fries,Neutral
 I tried some ribs and they were really good,Positive
 Flavourful with fall-off-the-bone tenderness,Positive
" Also, the sweet potato fries were fried up perfectly",Positive
 Nice and crispy,Positive
 And the sauce that came with them was good too,Positive
 The atmosphere here is a bit blah,Negative
" I'm sure it's much better in the summer, and the patio looks awesome",Positive
" Very big, with a great location next to the beach",Positive
 The food will definitely bring be back here again to try some more,Positive
  The staff is ambivalent at best,Negative
"  We had one question for our waitress, how big  the pitcher (like in how many ounces)?  Her response?  ""Look in here, it should say"" while she hands me back the menu",Negative
"  Her next response was that it was ""normal"" size and walked away",Negative
"  I will tell you this, she wasn't lying, these plates were scorching hot, as in I could not even touch it to move it on the table",Negative
 The food was at best mediocre,Negative
  My burrito was filled with greasy pork and covered in bland rachero sauce,Negative
  My friends fajita quesadilla was passable (though quite small),Neutral
"  I will say I typically do not have very high expectations for ""house"" margaritas, I'm expecting inexpensive tequila, but these margaritas didn't even meet those low standards",Negative
"  They were neon green and tasted of pure sweet and sour mix, not a whiff of tequila was detectable in smell or taste",Neutral
  My friend and I finished half a glass each of the concoction before we decided we could stomach no more,Negative
 Our waitress took 20 minutes to come back and check on us ,Negative
  We get to the front cash register and there is no one there,Negative
"  We wait 3 or 4 minutes, still no one there",Negative
"  Finally the manger comes out, we explain (in an extremely polite way) that we were simply not happy with the margaritas",Negative
Kids running around no one tells them anything,Negative
" Rice hard tastes a day old, pico de gallo no flavor also tastes old, chicken tooooo dry, flies flying everywhere",Negative
 Location dirty and very loud,Negative
 HEY MANAGER you need time management!!! I ordered two doughnuts (not the ones I like) They were out of the UN GLAZED ????? But never the less I would gladly eat what I had ordered ,Negative
 I ordered a large coffee and was told I would have to wait for ,Negative
  The manager said 20 minutes to wait for coffee,Negative
"  Tell you the truth, I am giving up on doughnuts and certainly this place needs new management for sure",Negative
"The food is good, if your going to use take out order in advance and ask for more meat, they can be a little light",Positive
"Very cool neighborhood charming ""dive"" bar with a newly added stage for Live music",Positive
"  Excellent bar food and fish sandwiches and cheap, good draft beer",Positive
Can't say too much about this handy restaurant,Positive
" Neat and tidy, good and quick customer service, and really tasty selection of meals to pick from",Positive
 There is also a small produce section which looks pretty clean but I never bought anything from there before,Positive
 I don't see any fresh fish or meat,Negative
 All frozen,Neutral
"Every weekend, come early for their fresh vegetable and beef rolls",Positive
 Delicious and runs out very quickly! I almost had to punch an old Filipino lady to get my fix! Right next door to a delicious Filipino restaurant,Positive
Their weekend Dim Sum is pretty good but I'd pass on the rest of their food,Neutral
  Their General Tso's chicken had the consistency of chewing gum,Negative
